Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
778,Fârliug c. / Furluk község (CS),2254,2063,5,35,88,17,0,0,0,1,24,0,2,0,0,19,0,0,0,0,0,0,0,1940,39,1,23,55,171,14,0,0,8,0,0,0,0,0,0,1,0,2
779,Forotic c. / Forotik község (CS),1917,1750,6,133,1,22,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1656,33,0,82,82,60,2,0,0,0,0,0,0,0,0,2,0,0,0
780,Gârnic c. / Szörénybúzás község (CS),1533,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,889,515,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0
781,Glimboca c. / Novákfalva község (CS),1930,1911,6,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,18,1,147,0,239,9,0,0,1,0,0,2,0,0,0,0,0,0
782,Goruia c. / Gorony község (CS),951,885,2,39,0,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,890,19,1,36,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
783,Grãdinari c. / Kákófalva község (CS),2199,1916,9,264,0,6,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2101,9,0,7,5,72,5,0,0,0,0,0,0,0,0,0,0,0,0
784,Iablaniþa c. / Bélajablánc község (CS),2661,2641,1,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2411,4,0,2,2,235,0,0,0,7,0,0,0,0,0,0,0,0,0
785,Lãpuºnicel c. / Kislaposnok község (CS),1320,1177,1,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,1116,145,0,6,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0
786,Lãpuºnicu Mare c. / Nagylaposnok község (CS),1986,1928,4,49,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1642,7,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,3
787,Luncaviþa c. / Nagylankás község (CS),2944,2891,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
