"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
36 "TELEORMAN" 1 "SENAT" 107048 104050 1384 1614 56763 53785 1382 1596 117451 60688 54632 1284 847 41009 107 5145 0 8138 0 0 0 0 0 233 0 0
36 "TELEORMAN" 2 "SENAT" 114689 112168 1241 1280 65795 63290 1241 1264 124962 59167 63792 1588 415 49961 154 6750 0 6730 0 0 0 0 0 0 197 0
36 "TELEORMAN" 3 "SENAT" 120892 117810 1346 1736 63737 60689 1346 1702 132320 68583 61603 1368 766 44897 84 7822 714 7994 0 0 0 0 0 0 92 0
37 "TIMIª" 1 "SENAT" 143021 142130 786 105 46017 45126 786 105 155673 109673 44706 1106 162 27728 1876 9836 871 4141 254 0 0 0 0 0 0 0
37 "TIMIª" 2 "SENAT" 143349 142675 597 77 44132 43458 597 77 156995 112852 43027 950 142 25858 1536 9726 857 4866 184 0 0 0 0 0 0 0
37 "TIMIª" 3 "SENAT" 161169 159594 839 736 51641 50102 837 702 177129 125492 50305 866 466 26944 1793 12430 855 8283 0 0 0 0 0 0 0 0
37 "TIMIª" 4 "SENAT" 163505 161501 1297 707 54289 52330 1288 671 182327 128048 52796 1044 439 32634 1523 8982 1090 8567 0 0 0 0 0 0 0 0
38 "TULCEA" 1 "SENAT" 109293 108506 469 318 41761 41000 469 292 120086 78325 40088 1172 501 23994 143 6559 1035 8357 0 0 0 0 0 0 0 0
38 "TULCEA" 2 "SENAT" 96562 95750 432 380 35271 34497 432 342 106087 70817 33657 876 737 20984 151 5221 0 7301 0 0 0 0 0 0 0 0
39 "VASLUI" 1 "SENAT" 149063 147399 1371 293 54864 53217 1359 288 162699 107841 51987 1713 1150 35543 408 7252 0 7487 0 0 0 0 1297 0 0 0
39 "VASLUI" 2 "SENAT" 113803 112682 941 180 44080 42960 941 179 124100 80021 42062 1310 707 29098 410 4463 0 7391 0 0 0 0 700 0 0 0
39 "VASLUI" 3 "SENAT" 106702 104943 1349 410 43989 42263 1349 377 116032 72044 41881 1208 896 25328 198 11104 0 4716 0 0 0 0 535 0 0 0
